"TEXT","URL"
"Quick Links","https://pec.ac.in/institute-functionaries#0"
"Institute","https://pec.ac.in/institute-functionaries#tab1"
"Head of Departments","https://pec.ac.in/institute-functionaries#tab2"
"Deans & Associate Deans","https://pec.ac.in/institute-functionaries#tab3"
"Career Development and Guidance Cell","https://pec.ac.in/institute-functionaries#tab4"
"Head of Centers","https://pec.ac.in/institute-functionaries#tab5"
"Accounts Section","https://pec.ac.in/institute-functionaries#tab20"
"Chairpersons","https://pec.ac.in/institute-functionaries#tab6"
"Chief Wardens","https://pec.ac.in/institute-functionaries#tab7"
"Liaison Officers","https://pec.ac.in/institute-functionaries#tab8"
"Student Advisers","https://pec.ac.in/institute-functionaries#tab9"
"Other Activities","https://pec.ac.in/institute-functionaries#tab10"
"Committees","https://pec.ac.in/institute-functionaries#tab11"
"Coordinators","https://pec.ac.in/institute-functionaries#tab15"
"Clubs","https://pec.ac.in/institute-functionaries#tab12"
"Societies","https://pec.ac.in/institute-functionaries#tab14"
"Nodal Officers","https://pec.ac.in/institute-functionaries#tab16"
"Games","https://pec.ac.in/institute-functionaries#tab17"
"Skip to main content","https://pec.ac.in/institute#main-content"
"Quick Links","https://pec.ac.in/institute#0"
"Skip to main content","https://pec.ac.in/history#main-content"
"Quick Links","https://pec.ac.in/history#0"
"Skip to main content","https://pec.ac.in/vision#main-content"
"Quick Links","https://pec.ac.in/vision#0"
"Skip to main content","https://pec.ac.in/campus#main-content"
"Quick Links","https://pec.ac.in/campus#0"
"Skip to main content","https://pec.ac.in/location#main-content"
"Quick Links","https://pec.ac.in/location#0"
"Skip to main content","https://pec.ac.in/all_events#main-content"
"Quick Links","https://pec.ac.in/all_events#0"
"6th International Yoga Day","https://pec.ac.in/events/6th-international-yoga-day"
"A Case Study on Mitigating Traffic Congestion of Chandigarh - Nayagaon Stretch","https://pec.ac.in/events/case-study-mitigating-traffic-congestion-chandigarh-nayagaon-stretch"
"PEC Student Bagged ASCE Student Leadership Award","https://pec.ac.in/events/pec-student-bagged-asce-student-leadership-award"
"Swayam Sevika – Contactless Food & Medicine Delivery Bot","https://pec.ac.in/events/swayam-sevika-%E2%80%93-contactless-food-medicine-delivery-bot"
"PEC Stands up for the Cause of Blood Donation","https://pec.ac.in/events/pec-stands-cause-blood-donation"
"AICTE-ATAL Sponsored FDPs","https://pec.ac.in/events/aicte-atal-sponsored-fdps"
"TEQIP-III sponsored National Seminar on Recent Advances in Mathematical Modeling and their Applications in Engineering and Sciences","https://pec.ac.in/events/teqip-iii-sponsored-national-seminar-recent-advances-mathematical-modeling-and-their"
"Expert lecture on Social Entrepreneurship","https://pec.ac.in/events/expert-lecture-social-entrepreneurship"
"Expert lecture on IOT and Blockchain","https://pec.ac.in/events/expert-lecture-iot-and-blockchain"
"1","https://pec.ac.in/all_events#"
"2","https://pec.ac.in/all_events?page=1"
"3","https://pec.ac.in/all_events?page=2"
"4","https://pec.ac.in/all_events?page=3"
"5","https://pec.ac.in/all_events?page=4"
"6","https://pec.ac.in/all_events?page=5"
"7","https://pec.ac.in/all_events?page=6"
"8","https://pec.ac.in/all_events?page=7"
"9","https://pec.ac.in/all_events?page=8"
"Skip to main content","https://pec.ac.in/balance-sheets#main-content"
"Quick Links","https://pec.ac.in/balance-sheets#0"
"Balance Sheet for the F.Y. 2018-19","https://pec.ac.in/sites/default/files/uploads/balance_sheet_pec_18-19.pdf"
"Balance Sheet for the F.Y. 2018-19","https://pec.ac.in/sites/default/files/uploads/balance_sheet_teqip_18-19.PDF"
"Balance Sheet for the F.Y. 2017-18","https://pec.ac.in/sites/default/files/uploads/balance_sheet_teqip_17-18.PDF"
"Skip to main content","https://pec.ac.in/faculty-affairs#main-content"
"Quick Links","https://pec.ac.in/faculty-affairs#0"
"Skip to main content","https://pec.ac.in/institute/iqac-reports#main-content"
"Quick Links","https://pec.ac.in/institute/iqac-reports#0"
"IQAC Annual Report 2011-12","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_11-12.pdf"
"IQAC Annual Report 2013-14","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_13-14.pdf"
"IQAC Annual Report 2014-15","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_14-15.pdf"
"IQAC Annual Report 2015-16","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_15-16.pdf"
"IQAC Annual Report 2016-17","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_16-17.pdf"
"IQAC Annual Report 2017-18","https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_17-18.pdf"
"Skip to main content","https://pec.ac.in/administration#main-content"
"Quick Links","https://pec.ac.in/administration#0"
"Skip to main content","https://pec.ac.in/board-of-governors#main-content"
"Minutes of BOG Meetings","https://pec.ac.in/board-of-governors/minutes-bog-meetings"
"Quick Links","https://pec.ac.in/board-of-governors#0"
"Skip to main content","https://pec.ac.in/chairman-bog#main-content"
"Quick Links","https://pec.ac.in/chairman-bog#0"
"Skip to main content","https://pec.ac.in/director#main-content"
"Quick Links","https://pec.ac.in/director#0"
"Skip to main content","https://pec.ac.in/senate-members#main-content"
"Minutes of Senate Meetings","https://pec.ac.in/minutes-senate-meetings"
"Quick Links","https://pec.ac.in/senate-members#0"
"Skip to main content","https://pec.ac.in/building-works-committee#main-content"
"Quick Links","https://pec.ac.in/building-works-committee#0"
"Skip to main content","https://pec.ac.in/finance-committee#main-content"
"Minutes of Finance Committee Meetings","https://pec.ac.in/minutes-finance-committee-meetings"
"Quick Links","https://pec.ac.in/finance-committee#0"
"Skip to main content","https://pec.ac.in/grievance-redressal-committee#main-content"
"Quick Links","https://pec.ac.in/grievance-redressal-committee#0"
"Skip to main content","https://pec.ac.in/minutes-meetings#main-content"
"Quick Links","https://pec.ac.in/minutes-meetings#0"
"Skip to main content","https://pec.ac.in/programmes#main-content"
"Scholarship Office Orders & Sanction Orders","https://pec.ac.in/programmes/student-support/scholarship-office-orders-sanction-orders"
"Rules & Procedures","https://pec.ac.in/programmes/rules-procedures"
"Functionaries & Dealing Clerks","https://pec.ac.in/programmes/functionaries-dealing-clerks"
"List of Visiting Professor / Emeritus Professor","https://pec.ac.in/departments/visiting-emeritus-professors"
"Quick Links","https://pec.ac.in/programmes#0"
"Skip to main content","https://pec.ac.in/programmes/ug/structure#main-content"
"Quick Links","https://pec.ac.in/programmes/ug/structure#0"
"Aerospace Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/aero-14-18"
"Aerospace Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/aero-15-19"
"Aerospace Engineering","https://pec.ac.in/programmes/ug/structure/aero-syllabus"
"Civil Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/civil-14-18"
"Civil Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/civil-15-19"
"Civil Engineering","https://pec.ac.in/programmes/ug/structure/civil-syllabus"
"Computer Science & Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/cse-14-18"
"Computer Science & Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/cse-15-19"
"Computer Science & Engineering","https://pec.ac.in/programmes/ug/structure/cse-syllabus"
"Electrical Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/electrical-14-18"
"Electrical Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/electrical-15-19"
"Electrical Engineering","https://pec.ac.in/programmes/ug/structure/electrical-syllabus"
"Electronics Communication Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/ece-14-18"
"Electronics Communication Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/ece-15-19"
"Electronics & Communication Engineering","https://pec.ac.in/programmes/ug/structure/ece-syllabus"
"Mechanical Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/mech-14-18"
"Mechanical Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/mech-15-19"
"Mechanical Engineering","https://pec.ac.in/programmes/ug/structure/mech-syllabus"
"Materials & Metallurgical Engineering (BATCH 2014-18)","https://pec.ac.in/programmes/ug/structure/meta-14-18"
"Materials & Metallurgical Engineering (BATCH 2015-19)","https://pec.ac.in/programmes/ug/structure/meta-15-19"
"Materials & Metallurgical Engineering","https://pec.ac.in/programmes/ug/structure/meta-syllabus"
"Production & Industrial Engineering (2014-18)","https://pec.ac.in/programmes/ug/structure/prod-14-18"
"Skip to main content","https://pec.ac.in/programmes/pg/structure#main-content"
"Quick Links","https://pec.ac.in/programmes/pg/structure#0"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-transport"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-transport-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-wr"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-wr-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-structure"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/civil-structure-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/cse"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/cse-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/cse-is"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/cse-is-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/electrical"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/electrical-syllabus"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/mech-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/electronics"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/electronics-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/electronics-vlsi"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/electronics-vlsi-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/metallurgy"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/metallurgy-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/production"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/production-syllabus"
"Click Here for Programmes Structure (2016-18)","https://pec.ac.in/programmes/pg/structure/industrial-design"
"Click Here for Syllabus (2016-18)","https://pec.ac.in/programmes/pg/structure/industrial-design-syllabus"
"Skip to main content","https://pec.ac.in/programmes/phd#main-content"
"PhD Performas","https://pec.ac.in/programmes/phd/performas"
"Ph.D. Scholars Enrolled","https://pec.ac.in/programmes/phd/ugc-phd-data"
"Quick Links","https://pec.ac.in/programmes/phd#0"
"PhD Rules effective from 2014 Onwards","https://pec.ac.in/sites/default/files/uploads/phd_rules.pdf"
"Skip to main content","https://pec.ac.in/programmes/student-support#main-content"
"Quick Links","https://pec.ac.in/programmes/student-support#0"
"Skip to main content","https://pec.ac.in/programmes/accreditation#main-content"
"Quick Links","https://pec.ac.in/programmes/accreditation#0"
"Letter of Extension of Approval 2019-20","https://pec.ac.in/sites/default/files/uploads/EOA_Report_2019-20.PDF"
"Self Study Report (SSR) for First Cycle of Accreditation","https://pec.ac.in/sites/default/files/uploads/naac_ssr_pec.pdf"
"Skip to main content","https://pec.ac.in/programmes/scholarships#main-content"
"Quick Links","https://pec.ac.in/programmes/scholarships#0"
"National Scholarship Portal","https://pec.ac.in/sites/default/files/attachments/nsp_notice.pdf"
"Scholarship Programme for Diaspora Children","https://pec.ac.in/sites/default/files/attachments/sdpc_notice.pdf"
"Scholarship Notice for Different Minority Communities","https://pec.ac.in/sites/default/files/attachments/scholarships_minority_communities_notice.pdf"
"Top Class Scheme for SC Candidates","https://pec.ac.in/sites/default/files/attachments/top_class_sc.pdf"
"Skip to main content","https://pec.ac.in/iqac/aqar-reports#main-content"
"Minutes of Meetings","https://pec.ac.in/iqac/minutes-of-meetings"
"Coordinator","https://pec.ac.in/iqac/coordinator"
"Quick Links","https://pec.ac.in/iqac/aqar-reports#0"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2017-18.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2016-17.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2015-16.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2014-15.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2013-14.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2012-13.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2011-12.pdf"
"Download Report","https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2010-11.pdf"
"Skip to main content","https://pec.ac.in/admissions#main-content"
"B.Tech. Admissions","https://pec.ac.in/admissions/btech"
"M.Tech. Admissions","https://pec.ac.in/admissions/mtech"
"Ph.D Admissions","https://pec.ac.in/admissions/phd"
"Quick Links","https://pec.ac.in/admissions#0"
"Skip to main content","https://pec.ac.in/academic-units#main-content"
"Quick Links","https://pec.ac.in/academic-units#0"
"Skip to main content","https://pec.ac.in/departments#main-content"
"Quick Links","https://pec.ac.in/departments#0"
"Aerospace Engineering","https://pec.ac.in/aero"
"Applied Sciences","https://pec.ac.in/applied-sciences"
"Civil Engineering","https://pec.ac.in/civil"
"Computer Science & Engineering","https://pec.ac.in/cse"
"Electrical Engineering","https://pec.ac.in/ee"
"Electronics and Communication Engineering","https://pec.ac.in/ece"
"Mechanical Engineering","https://pec.ac.in/me"
"Metallurgical & Materials Engineering","https://pec.ac.in/metta"
"Production and Industrial Engineering","https://pec.ac.in/pie"
"Skip to main content","https://pec.ac.in/centres#main-content"
"Quick Links","https://pec.ac.in/centres#0"
"Centre of Excellence in Industrial and Product Design","https://pec.ac.in/coe"
"Center of Excellence Siemens","https://pec.ac.in/sites/default/files/uploads/Siemens_CoE_PEC_compressed.pdf"
"Centre of Management and Humanities (CMH)","https://pec.ac.in/cmh"
"Centre for Total Quality Management and ZED","https://pec.ac.in/tqm-zed"
"Cyber Security Research Centre","https://pec.ac.in/cyber-security-research-centre"
"Kalpana Chawla Chair of Geospatial Technology (KCC GT)","https://pec.ac.in/institute/kalpana-chawla-chair"
"Skip to main content","https://pec.ac.in/research/overview#main-content"
"Advance Manufacturing Lab","https://pec.ac.in/research/advance-manufacturing-lab"
"Quick Links","https://pec.ac.in/research/overview#0"
"Skip to main content","https://pec.ac.in/research-groups#main-content"
"As Per UGC thrust areas","https://pec.ac.in/research-groups-ugc-thrust-areas"
"As Per Faculty Interests","https://pec.ac.in/research-groups-recent-interests-faculty"
"Quick Links","https://pec.ac.in/research-groups#0"
"Skip to main content","https://pec.ac.in/sponsored-research#main-content"
"Quick Links","https://pec.ac.in/sponsored-research#0"
"Skip to main content","https://pec.ac.in/house-projects#main-content"
"Quick Links","https://pec.ac.in/house-projects#0"
"Skip to main content","https://pec.ac.in/consultancy#main-content"
"List of Consultancy Projects","https://pec.ac.in/list-consultancy-projects"
"Quick Links","https://pec.ac.in/consultancy#0"
"Skip to main content","https://pec.ac.in/courses-and-conferences#main-content"
"Quick Links","https://pec.ac.in/courses-and-conferences#0"
"Skip to main content","https://pec.ac.in/yrf/about-programme#main-content"
"Eligibility Criteria","https://pec.ac.in/yrf/eligibility-criteria"
"Benefits & Awards","https://pec.ac.in/yrf/benefits-awards"
"Selection Process","https://pec.ac.in/yrf/selection-process"
"Review Process","https://pec.ac.in/yrf/review-process"
"Apply for YRF","https://pec.ac.in/yrf/apply"
"Ongoing Projects","https://pec.ac.in/ongoing-projects"
"Information on Mentors & Guides","https://pec.ac.in/yrf/information-mentors-guides"
"Information on YRFs","https://pec.ac.in/yrf/information"
"Quick Links","https://pec.ac.in/yrf/about-programme#0"
"Skip to main content","https://pec.ac.in/norms-and-forms#main-content"
"Quick Links","https://pec.ac.in/norms-and-forms#0"
"In-house Projects","https://pec.ac.in/node/297"
"Consultancy & Testing Projects","https://pec.ac.in/node/298"
"Distribution of PDF and Incentive for Consultancy Testing Project","https://pec.ac.in/sites/default/files/uploads/distribution_pdf_cp_2020.pdf"
"Distribution of PDF and Incentive for Sponsored Projects","https://pec.ac.in/sites/default/files/uploads/distribution_pdf_sp_2020.pdf"
"Skip to main content","https://pec.ac.in/research/contacts#main-content"
"Quick Links","https://pec.ac.in/research/contacts#0"
"Skip to main content","https://pec.ac.in/campus-life#main-content"
"Technical Societies","https://pec.ac.in/students/technical-societies"
"Cultural Clubs","https://pec.ac.in/cultural-clubs"
"Our Recent Events","https://pec.ac.in/clubs/recent-events"
"Our Recent Achievements","https://pec.ac.in/clubs/recent-achievements"
"Forms","https://pec.ac.in/forms"
"NSS","https://pec.ac.in/nss"
"NCC","https://pec.ac.in/ncc"
"Financial Assistance","https://pec.ac.in/current-students/financial-assistance"
"Contact Us","https://pec.ac.in/current-students/contact-us"
"Equivalent Ranks","https://pec.ac.in/ncc/equivalent-ranks"
"Quick Links","https://pec.ac.in/campus-life#0"
"Skip to main content","https://pec.ac.in/current-students#main-content"
"Quick Links","https://pec.ac.in/current-students#0"
"Skip to main content","https://pec.ac.in/facilities#main-content"
"Quick Links","https://pec.ac.in/facilities#0"
"Read More","https://pec.ac.in/sports"
"Skip to main content","https://pec.ac.in/events/mou-signed-between-pec-and-bansal-envirotech#main-content"
"Quick Links","https://pec.ac.in/events/mou-signed-between-pec-and-bansal-envirotech#0"
"Skip to main content","https://pec.ac.in/events/mou-signed-between-pec-and-kisco-india-private-limited-kipl#main-content"
"Quick Links","https://pec.ac.in/events/mou-signed-between-pec-and-kisco-india-private-limited-kipl#0"
"Skip to main content","https://pec.ac.in/events/homecoming-2020-first-annual-alumni-meet#main-content"
"Quick Links","https://pec.ac.in/events/homecoming-2020-first-annual-alumni-meet#0"
"Skip to main content","https://pec.ac.in/events/siemens-center-excellence-inaugurated-pec#main-content"
"Quick Links","https://pec.ac.in/events/siemens-center-excellence-inaugurated-pec#0"
"Skip to main content","https://pec.ac.in/donations/distinguished-alumnus-award#main-content"
"Our Latest Donors","https://pec.ac.in/donations/our_latest_donors"
"Click Here for Nomination Form","https://pec.ac.in/donations/nomination-form-distinguished-alumnus-award"
"Skip to main content","https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020#main-content"
"Quick Links","https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020#0"
"Skip to main content","https://pec.ac.in/events/mou-signed-between-pec-and-peda#main-content"
"Quick Links","https://pec.ac.in/events/mou-signed-between-pec-and-peda#0"
